|003194022_0_000108_2_The Two Famous Pitcht Battels of Lypsich and Lutzen wherein     Gustavus the Great lived  and died a conquerour  with an elegie upon his untimely death_1634.jpg| Miniatures
|002898188_0_000017_2_Great Britains Glory  or  A brief description of the present state     of the Royal Exchange  With some remarkable passages relating to the present engagement [i e  the Dutch war]     By Theophilus Philalethes  [In verse ]_1672.jpg| Miniatures
|000366999_0_000110_1_Creation  A philosophical poem  In seven books_1712.jpg| Decorations
|001440932_0_000005_1_[Medea  etc ]_1762.jpg| Text
|001230725_0_000387_1_Fielding komischer Roman in vier Theilen  etc_1765.jpg| Decorations
|001749858_0_000098_1_A selection of Views in the County of Lincoln      Engraved by B  H   With topog_1801.jpg| Architecture
|002212096_0_000050_1_Geschichte von dem Ursprung der Stadt Amberg  von dem Wachsthum derselben unter ihren Beherrschern den Markgrafen auf dem Nordgaue  etc  In drey Theilen und dem Urkundenbuche_1801.jpg| Text
|002326709_0_000002_1_An excursion in France  and other parts of the Continent of Europe  from the cessation of hostilities in 1801  to the 13th of December  1803  etc_1804.jpg| Seals
|000091083_02_000306_1_Voyages and Travels to India  Ceylon  the Red Sea  Abyssinia  and Egypt  1802  1_1809.jpg| Maps
|003641179_0_000051_1_Observations on the breeding and management of Neat Cattle  together with a desc_1811.jpg| Animals
|003378114_0_000029_1_Sidmouth Scenery  or views of the principal cottages and residences     at that _1816.jpg| Architecture
|003508887_03_001171_1_Handlingar ro rande Skandinaviens Historia_1816.jpg| Text
|002921088_01_000008_1_[Modern geography     The astronomical introduction by M  La Croix     Translate_1817.jpg| Maps
|002046950_02_000008_1_Histoire de France pendant le dix huitie me sie cle  Quatrie me e dition_1819.jpg| Text
|000772054_02_000022_1_The New Builder s Magazine  and Complete Architectural Library  for architects  surveyors  carpenters  etc_1819.jpg| Diagrams
|003849182_0_000005_1_The Mysterious Marriage  or  the Will of my father  [With plates ]_1820.jpg| Text
|003694296_03_000102_1_Journal of a Tour in the Levant_1820.jpg| Maps
|000611972_0_000026_1_[The Queen s Matrimonial Ladder  a national toy     By the author of  The Politi_1820.jpg| Animals
|001833044_0_000017_1_[The real constitutional house that Jack built     Eighth edition  [A satire in _1820.jpg| People
|002108164_0_000053_1_A Political Lecture on Heads  By the Black Dwarf [i e  T  J  Wooler]     Third e_1820.jpg| People
|000385345_0_000002_1_[A New Song  called the Angler s Progress  etc ]_1820.jpg| Seals
|000732791_0_000026_1_[The Old Black Cock and his Dunghill Advisers in Jeopardy  or  the Palace that J_1820.jpg| Animals
|001833093_0_000015_1_[The Political Queen that Jack loves     Seventh edition  [By William Hone ]]_1820.jpg| People
|003849182_0_000110_1_The Mysterious Marriage  or  the Will of my father  [With plates ]_1820.jpg| People
|003694296_02_000034_1_Journal of a Tour in the Levant_1820.jpg| Objects
|001833045_0_000025_1_The Royal House that Jack built  [A satire in verse upon Queen Caroline ]_1820.jpg| Architecture
|002903501_0_000007_1_[A Morning s Walk from London to Kew ]_1820.jpg| Landscape
|001833093_0_000012_1_[The Political Queen that Jack loves     Seventh edition  [By William Hone ]]_1820.jpg| People
|001833093_0_000013_1_[The Political Queen that Jack loves     Seventh edition  [By William Hone ]]_1820.jpg| People
|001833044_0_000015_1_[The real constitutional house that Jack built     Eighth edition  [A satire in _1820.jpg| Objects
|001833093_0_000017_1_[The Political Queen that Jack loves     Seventh edition  [By William Hone ]]_1820.jpg| People
|001833045_0_000009_1_The Royal House that Jack built  [A satire in verse upon Queen Caroline ]_1820.jpg| People
|003694296_03_000552_1_Journal of a Tour in the Levant_1820.jpg| Text
