|003849182_0_000005_1_The Mysterious Marriage  or  the Will of my father  [With plates ]_1820.jpg| Text
|003694296_03_000102_1_Journal of a Tour in the Levant_1820.jpg| Maps
|000611972_0_000026_1_[The Queen s Matrimonial Ladder  a national toy     By the author of  The Politi_1820.jpg| Animals
|001833044_0_000017_1_[The real constitutional house that Jack built     Eighth edition  [A satire in _1820.jpg| People
|002108164_0_000053_1_A Political Lecture on Heads  By the Black Dwarf [i e  T  J  Wooler]     Third e_1820.jpg| People
|000385345_0_000002_1_[A New Song  called the Angler s Progress  etc ]_1820.jpg| Seals
|000732791_0_000026_1_[The Old Black Cock and his Dunghill Advisers in Jeopardy  or  the Palace that J_1820.jpg| Animals
|001833093_0_000015_1_[The Political Queen that Jack loves     Seventh edition  [By William Hone ]]_1820.jpg| People
|003849182_0_000110_1_The Mysterious Marriage  or  the Will of my father  [With plates ]_1820.jpg| People
|003694296_02_000034_1_Journal of a Tour in the Levant_1820.jpg| Objects
|001833045_0_000025_1_The Royal House that Jack built  [A satire in verse upon Queen Caroline ]_1820.jpg| Architecture
|002903501_0_000007_1_[A Morning s Walk from London to Kew ]_1820.jpg| Landscape
|001833093_0_000012_1_[The Political Queen that Jack loves     Seventh edition  [By William Hone ]]_1820.jpg| People
|001833093_0_000013_1_[The Political Queen that Jack loves     Seventh edition  [By William Hone ]]_1820.jpg| People
|001833044_0_000015_1_[The real constitutional house that Jack built     Eighth edition  [A satire in _1820.jpg| Objects
|001833093_0_000017_1_[The Political Queen that Jack loves     Seventh edition  [By William Hone ]]_1820.jpg| People
|001833045_0_000009_1_The Royal House that Jack built  [A satire in verse upon Queen Caroline ]_1820.jpg| People
|003694296_03_000552_1_Journal of a Tour in the Levant_1820.jpg| Text
|000611980_0_000018_1_[The Queen s Matrimonial Ladder     Twenty sixth edition  By the author of  The _1820.jpg| Animals
|001175244_02_000127_1_[A Classical Tour through Italy     Fourth edition      illustrated with a map o_1821.jpg| Diagrams
|000105615_0_000230_1_Umrisse einer Reise nach London  Amsterdam und Paris im Jahr 1817 von Archibald _1821.jpg| Architecture
|002081122_0_000218_1_The University and City of Oxford  displayed in a series of seventy two views  d_1821.jpg| Objects
|002013047_02_000443_1_A Voyage of Discovery  into the South Sea and Beering s Straits  for the purpose_1821.jpg| Diagrams
|002013047_03_000010_1_A Voyage of Discovery  into the South Sea and Beering s Straits  for the purpose_1821.jpg| People
|001859242_0_000136_1_The history of Thirsk      with biographical notices of eminent men  [Compiled b_1821.jpg| Objects
|002657622_0_000010_1_An historical account of Kenilworth Castle_1821.jpg| Maps
|002081122_0_000074_1_The University and City of Oxford  displayed in a series of seventy two views  d_1821.jpg| Objects
|001175244_02_000132_1_[A Classical Tour through Italy     Fourth edition      illustrated with a map o_1821.jpg| Diagrams
|002081122_0_000366_1_The University and City of Oxford  displayed in a series of seventy two views  d_1821.jpg| Architecture
|001254160_0_000005_1_The Scorpion Critic unmasked  or  animadversions on a pretended review [by J  G _1821.jpg| Text
|002081122_0_000324_1_The University and City of Oxford  displayed in a series of seventy two views  d_1821.jpg| Objects
|003316913_04_000535_1_[The Poetical Works of Walter Scott  Esq  [With the notes of the author ]]_1821.jpg| Landscape
|001242763_0_000104_1_A Journal of a Voyage of Discovery to the Arctic Regions in His Majesty s ships _1821.jpg| Animals
|001242763_0_000059_1_A Journal of a Voyage of Discovery to the Arctic Regions in His Majesty s ships _1821.jpg| Animals
|002081122_0_000358_1_The University and City of Oxford  displayed in a series of seventy two views  d_1821.jpg| Objects
|002081122_0_000130_1_The University and City of Oxford  displayed in a series of seventy two views  d_1821.jpg| Objects
|000929492_0_000007_1_[Life in London  or the Larks of Logic  Tom    Jerry  an extravaganza in three a_1822.jpg| Text
|003933756_0_000367_1_An historical and typographical description of the municipium of ancient Verulam_1822.jpg| Text
|002692037_01_000009_1_Chronicles of Eri  being the History of the Gaal Sciot Iber  or Irish people  tr_1822.jpg| Diagrams
|000557660_02_000012_1_The Works of Lord Byron  comprehending the suppressed poems  Embellished with a _1822.jpg| Text
|001866443_0_000009_1_[Lines written at Jerpoint Abbey  [By Samuel Carter Hall  With illustrations ]]_1822.jpg| Seals
|001255083_0_000166_1_Letters from America  containing observations on the climate and agriculture of _1822.jpg| Diagrams
|003147395_02_000067_1_[Rome in the Nineteenth Century  containing a complete account of the ruins of t_1822.jpg| Diagrams
|000516661_0_000468_1_[Travels in Palestine  through the countries of Bashan and Gilead  east of the R_1822.jpg| Maps
|001255083_0_000114_1_Letters from America  containing observations on the climate and agriculture of _1822.jpg| Diagrams
|003108304_0_000148_1_[The Tourist s Companion  being a description and history of Ripon  Studley Park_1822.jpg| Diagrams
|000984697_0_000080_1_[Pielgrzymka     do Ziemi S wie tey  Egiptu  niekto rych wschodnich  i po udniow_1822.jpg| Maps
|003121042_03_000002_1_[The Works of William Robertson     To which is prefixed  an account of his life_1822.jpg| Seals
|000984697_0_000133_1_[Pielgrzymka     do Ziemi S wie tey  Egiptu  niekto rych wschodnich  i po udniow_1822.jpg| Maps
|000533686_0_000331_1_[Travels in Nubia ]_1822.jpg| Text
|000533686_0_000225_1_[Travels in Nubia ]_1822.jpg| Text
